"","X","price","totsp","livesp","kitsp","dist","metrdist","walk","brick","floor"
"582",582,155,85,49,9,12,5,1,1,1
"583",583,145,90,55,10,9,7,1,1,0
"584",584,170,77,52,7,3,15,1,1,1
"585",585,140,68,46,7,9,10,1,0,1
"586",586,156,70,48,7,9,2,1,1,1
"587",587,153,86,55,10,6.5,5,0,1,1
"588",588,85,69,48,6,12,10,0,0,1
"589",589,105,61,38,8,17,5,1,0,0
"590",590,118,63,38,8,14.5,5,1,0,1
"591",591,84,58,42,6,13,15,1,0,0
"592",592,165,79,53,9,8,15,1,1,1
"593",593,105,68,46,8,12,15,1,0,1
"594",594,119,80,45,13,14.5,5,0,0,1
"595",595,227,104,54,10,10.5,8,1,0,1
"596",596,125,62,40,8,12.5,5,1,0,1
"597",597,170,85,50,9,13.5,9,0,1,1
"598",598,280,145,66,16,12.7,3,1,0,0
"599",599,165,74,46,10,5,10,1,0,1
"600",600,103,77,46,11,13,5,0,0,1
"601",601,87,58,45,5,10,3,1,0,1
"602",602,75,56,37,5,10,10,1,0,0
"603",603,110,79,47,8,14.5,3,0,0,0
"604",604,170,78,51,9,10.5,10,1,1,1
"605",605,80,60,45,6,13.5,5,0,0,1
"606",606,75,51,34,6,9,5,0,0,0
"607",607,145,81,43,10,17,3,1,0,0
"608",608,170,75,55,8,9,7,1,1,1
"609",609,115,59,39,6,10,10,1,0,0
"610",610,180,90,56,11,9,15,1,0,0
"611",611,123,70,47,8,12,7,0,0,1
"612",612,110,59,38,8,14.5,5,0,0,1
"613",613,100,60,39,6,17,5,1,0,1
"614",614,87,55,36,6,3.5,10,1,1,1
"615",615,135,76,44,9,5,7,1,1,1
"616",616,133,65,47,8,12.5,5,1,0,1
"617",617,150,78,44,8,13.5,1,1,0,1
"618",618,165,69,47,7,4.5,5,0,1,1
"619",619,415,152,80,17,3,5,1,0,1
"620",620,140,70,51,8,12.5,10,1,1,1
"621",621,107,57,41,6,12.5,10,1,1,1
"622",622,79,55,40,6,10.5,10,0,1,1
"623",623,97,77,47,9,14.5,10,1,0,0
"624",624,115,77,45,7,9,5,1,0,0
"625",625,157,75,53,10,12.5,5,1,0,1
"626",626,150,78,54,7,3.5,15,0,1,1
"627",627,185,80,53,9,7.5,10,1,1,1
"628",628,102,60,43,6,12,5,0,1,1
"629",629,125,64,44,9,12,12,1,0,1
"630",630,110,77,46,11,13,2,1,0,1
"631",631,105,79,52,10,14.5,10,0,0,0
"632",632,120,80,50,10,7,7,1,0,1
"633",633,85,60,44,6,7,7,1,0,1
"634",634,115,74,45,10,12.7,15,1,0,1
"635",635,80,60,44,6,13.5,5,1,0,1
"636",636,88,55,38,6,6.5,10,1,1,0
"637",637,150,78,45,10,14.5,10,0,0,1
"638",638,87,63,45,6,10,10,1,0,0
"639",639,112,65,40,8,17,5,1,0,0
"640",640,121,79,45,13,12,7,1,0,1
"641",641,75,44,28,6,13.5,7,1,0,1
"642",642,93,70,50,9,12.5,10,1,0,0
"643",643,105,83,48,9,13,15,1,0,1
"644",644,105,60,41,8,4.5,10,1,1,0
"645",645,142,84,53,10,15.5,15,1,0,1
"646",646,113,85,53,12,12.7,10,0,0,0
"647",647,132,88,55,14,17,5,1,0,1
"648",648,99,75,45,10,14.5,15,0,0,1
"649",649,110,74,45,12,12.7,1,1,0,0
"650",650,142,78,46,9,10.5,10,1,1,1
"651",651,165,77,44,10,8,10,1,0,1
"652",652,95,51,34,6,12,5,0,0,1
"653",653,125,62,42,10,12,10,1,0,1
"654",654,169,85,45,10,13.5,10,1,0,1
"655",655,130,70,45,9,10.5,15,1,0,1
"656",656,77,56,38,6,13.5,10,0,1,0
"657",657,164,90,52,13,10,3,1,1,1
"658",658,164,90,52,13,10,3,1,1,1
"659",659,75,54,36,6,10,7,1,0,1
"660",660,135,78,44,11,12.7,10,1,0,1
"661",661,89,51,34,6,13.5,10,0,0,1
"662",662,99,67,37,7,10.5,10,0,1,1
"663",663,135,75,46,10,11,10,1,0,1
"664",664,145,75,46,10,9,15,1,0,1
"665",665,93,57,40,6,3.5,7,1,1,1
"666",666,160,77,48,8,12,7,1,1,0
"667",667,140,78,48,11,12.7,8,1,0,1
"668",668,83,49,34,6,15.5,5,1,0,1
"669",669,76,55,36,6,12.5,15,0,1,0
"670",670,105,73,49,8,11.5,5,1,0,0
"671",671,86,56,42,5,6.5,5,1,1,0
"672",672,86,56,42,5,6.5,5,1,1,0
"673",673,150,77,42,8,6,15,1,0,1
"674",674,75,59,43,5,13.5,10,0,0,0
"675",675,150,76,45,10,13.5,10,1,0,1
"676",676,135,80,48,8,13,7,1,0,0
"677",677,160,86,56,9,6,2,1,0,1
"678",678,112,77,45,10,10,7,0,0,1
"679",679,110,75,45,10,12,5,0,1,1
"680",680,129,60,41,6,3,7,1,0,0
"681",681,170,75,48,7,7.5,3,1,1,1
"682",682,92,60,45,6,9,7,0,1,1
"683",683,110,78,48,14,12,10,1,0,1
"684",684,75,55,39,6,10,10,1,0,0
"685",685,205,87,58,9,7.5,5,1,1,1
"686",686,85,59,40,6,10,5,0,0,1
"687",687,160,79,51,12,3,8,1,1,1
"688",688,110,66,43,7,13.5,15,0,0,1
"689",689,112,73,51,8,10.5,7,0,1,1
"690",690,137,76,50,15,11,7,1,1,1
"691",691,82,54,35,6,9,10,1,1,0
"692",692,130,57,42,6,4.5,5,1,1,1
"693",693,130,80,46,10,10.5,15,1,0,1
"694",694,128,70,42,6,14.5,3,1,1,1
"695",695,121,80,45,13,14.5,5,0,0,1
"696",696,143,82,45,10,12,10,1,0,1
"697",697,85,58,39,7,7,5,1,0,1
"698",698,77,59,38,6,12,10,0,1,0
"699",699,129,86,55,10,10.5,10,0,0,0
"700",700,140,79,53,8,7,2,1,0,0
"701",701,94,72,46,10,14.5,9,0,0,1
"702",702,125,77,46,10,10.5,15,1,0,1
"703",703,115,67,42,9,3.5,7,1,1,1
"704",704,95,72,43,12,12.7,10,0,0,0
"705",705,130,77,53,9,7,8,1,1,1
"706",706,120,77,44,10,13.5,5,0,1,1
"707",707,96,60,45,6,12,10,1,0,1
"708",708,80,58,38,6,7,10,1,0,1
"709",709,88,56,36,6,17,10,0,0,1
"710",710,190,112,55,16,7,10,1,0,1
"711",711,100,75,45,10,13,5,0,0,1
"712",712,100,75,45,10,13,5,0,0,1
"713",713,108,75,50,10,12,3,1,0,1
"714",714,142,70,45,9,3.5,3,1,0,1
"715",715,102,64,47,6,17,10,1,0,1
"716",716,128,70,50,8,5,5,1,1,0
"717",717,170,79,52,9,9,7,1,0,1
"718",718,137,74,44,10,15.5,8,0,0,1
"719",719,79,58,41,6,12.5,5,0,0,0
"720",720,87,56,37,6,7,7,0,0,1
"721",721,105,53,36,5,7.5,10,1,1,0
"722",722,105,53,36,5,7.5,10,1,1,0
"723",723,97,76,44,10,12,10,1,0,0
"724",724,106,83,44,10,12,10,0,0,1
"725",725,75,55,36,6,13.5,15,0,1,0
"726",726,200,87,60,15,11.5,3,1,1,1
"727",727,117,79,45,13,14.5,7,0,0,1
"728",728,80,61,44,7,12,5,0,0,1
"729",729,115,68,43,9,6.5,5,1,0,1
"730",730,149,95,57,8,10.5,15,0,1,1
"731",731,85,55,35,6,10.5,5,0,1,0
"732",732,130,73,47,9,11,10,1,1,1
"733",733,80,56,37,6,12,10,1,1,0
"734",734,125,80,45,13,12,5,0,1,1
"735",735,100,78,45,10,13,7,1,0,1
"736",736,100,76,45,10,12,15,0,0,1
"737",737,90,56,41,5,6,15,1,1,1
"738",738,110,65,45,11,7,7,1,0,1
"739",739,105,77,54,8,10.5,12,1,0,0
"740",740,180,72,45,10,3,3,1,1,1
"741",741,140,78,46,9,10.5,10,1,1,1
"742",742,113,77,50,8,12.5,15,0,1,0
"743",743,145,85,54,11,8,10,0,1,1
"744",744,125,78,44,13,12,5,1,0,1
"745",745,167,78,54,8,9,10,1,1,1
"746",746,88,55,36,6,9,5,1,1,0
"747",747,181,86,51,11,10.5,10,0,0,0
"748",748,80,59,43,6,13.5,5,0,0,1
"749",749,105,65,40,7,17,10,1,0,0
"750",750,112,66,41,8,17,5,1,0,0
"751",751,135,65,38,8,7.5,10,1,1,1
"752",752,115,74,54,9,11,12,1,1,0
"753",753,138,77,45,11,10.5,10,1,0,1
"754",754,115,80,54,12,12.7,5,0,0,1
"755",755,106,76,43,12,13,5,0,0,0
"756",756,85,55,38,6,10.5,5,0,1,0
"757",757,110,70,40,6,12,2,1,1,0
"758",758,130,72,44,9,6,5,1,1,1
"759",759,127,77,40,11,13,10,0,0,1
"760",760,115,74,48,11,13,15,1,0,1
"761",761,125,74,45,10,14.5,15,0,0,1
"762",762,135,85,53,9,10.5,7,0,1,0
"763",763,73,61,41,6,13,10,0,0,0
"764",764,115,84,53,12,12.7,15,1,0,1
"765",765,145,74,43,10,12.5,10,1,0,1
"766",766,110,71,43,10,14.5,20,0,0,1
"767",767,135,74,48,10,7.5,3,1,1,0
"768",768,115,57,42,6,10.5,4,0,1,1
"769",769,190,81,51,14,9,3,1,1,1
"770",770,155,75,46,10,12,5,1,0,1
"771",771,87,54,34,6,17,1,1,0,1
"772",772,95,60,43,6,17,10,1,0,1
"773",773,125,75,53,8,11,3,1,1,1
"774",774,185,95,57,12,5,5,1,0,0
"775",775,96,60,38,6,12,5,0,0,1
"776",776,84,59,46,6,10,15,1,0,1
"777",777,125,80,47,10,12,15,0,0,1
"778",778,118,78,52,9,11,5,1,1,1
"779",779,77,60,43,6,12,6,0,0,1
"780",780,130,64,35,6,9,1,1,1,1
"781",781,144,66,45,8,9,7,1,1,1
"782",782,82,56,39,6,10,5,1,0,1
"783",783,110,60,41,6,12,10,1,0,1
"784",784,160,69,47,8,3,10,1,1,1
"785",785,108,73,51,8,12.5,15,0,1,1
"786",786,95,73,43,11,12.7,10,1,0,0
"787",787,80,52,34,6,17,10,1,0,0
"788",788,155,81,44,10,13.5,10,0,0,1
"789",789,147,75,45,10,7,15,1,0,1
"790",790,138,68,46,8,9,10,1,0,1
"791",791,80,51,34,6,13.5,15,0,0,1
"792",792,82,62,44,6,12.5,10,0,0,0
"793",793,115,76,45,11,12,5,1,0,1
"794",794,150,80,48,13,14.5,10,0,0,1
"795",795,126,79,44,13,10.5,10,0,0,1
"796",796,160,80,55,8,8,15,1,1,1
"797",797,97,58,42,5,12.5,15,1,1,1
"798",798,128,84,53,10,12,5,1,0,1
"799",799,83,50,34,6,15.5,5,0,0,1
"800",800,144,76,43,10,13.5,10,0,0,1
"801",801,86,56,34,7,7.5,10,0,0,0
"802",802,110,77,46,9,15.5,3,1,0,1
"803",803,80,52,36,6,10.5,15,1,1,0
"804",804,170,106,64,13,12,15,1,0,1
"805",805,145,76,48,9,13.5,10,0,0,1
"806",806,79,56,37,6,11.5,5,1,0,1
"807",807,95,64,39,8,12,15,1,0,1
"808",808,127,73,43,11,13,5,1,1,1
"809",809,176,104,55,11,9,5,1,0,1
"810",810,114,80,45,13,12,7,1,0,0
"811",811,115,64,38,8,14.5,7,1,0,1
"812",812,82,60,42,7,13.5,5,0,0,1
"813",813,117,82,44,10,13,2,1,0,1
"814",814,105,76,40,11,12.7,5,0,0,1
"815",815,162,90,61,10,10.5,3,1,1,1
"816",816,135,68,46,8,12.5,7,0,0,1
"817",817,170,80,46,10,10,5,1,0,0
"818",818,80,60,44,6,13.5,7,0,0,1
"819",819,102,60,40,8,8,5,0,1,1
"820",820,113,85,46,10,12,15,0,0,1
"821",821,120,83,56,10,12,15,1,1,1
"822",822,92,66,44,9,11.5,7,1,0,0
"823",823,95,54,36,5,3.5,15,1,1,1
"824",824,125,78,53,8,8,10,1,0,0
"825",825,185,75,47,9,3,3,1,1,0
"826",826,105,65,39,8,17,10,1,0,0
"827",827,165,78,54,8,9,10,1,1,1
"828",828,149,94,57,8,10.5,15,0,1,1
"829",829,98,74,44,10,12,15,1,0,0
"830",830,189,86,55,10,9,10,1,1,1
"831",831,96,68,45,10,12.5,15,0,0,1
"832",832,108,76,45,10,12,10,0,1,0
"833",833,103,76,45,10,13,5,0,0,1
"834",834,105,63,44,7,17,3,1,0,1
"835",835,94,64,45,6,17,15,1,0,1
"836",836,195,86,60,10,9,5,0,1,1
"837",837,135,100,50,10,15.5,10,1,0,1
"838",838,147,80,45,13,4.5,15,1,0,1
"839",839,99,76,45,10,12,10,1,0,1
"840",840,130,80,38,11,12.7,10,1,0,1
"841",841,136,78,48,9,12.5,15,1,0,1
"842",842,115,73,52,9,10.5,15,1,1,1
"843",843,135,72,45,10,14.5,2,1,0,1
"844",844,85,55,40,6,11,5,0,1,1
"845",845,122,79,45,13,12,10,1,0,1
"846",846,130,76,46,11,13,5,0,0,1
"847",847,116,75,44,13,12,10,1,0,1
"848",848,260,110,71,18,4.5,7,1,1,1
"849",849,92,65,45,7,12.5,5,1,0,1
"850",850,78,56,39,6,12,5,1,1,0
"851",851,78,51,34,6,13,5,0,0,1
"852",852,120,80,45,9,12.7,15,1,0,1
"853",853,78,59,42,6,12.5,10,0,0,0
"854",854,125,74,46,8.5,12,5,1,0,1
"855",855,105,65,40,8,17,10,1,0,1
"856",856,105,66,44,7,3.5,10,1,0,1
"857",857,123,74,44,12,9,7,0,0,1
"858",858,92,68,44,10,10.5,10,0,0,1
"859",859,189,80,52,10,7,1,1,1,1
"860",860,114,75,45,10,12.7,15,0,0,1
"861",861,145,90,52,9,12,15,1,1,0
"862",862,209,99,63,9,9,10,1,1,1
"863",863,104,72,48,9,10.5,10,1,0,0
"864",864,98,54,36,5,3.5,12,1,1,1
"865",865,123,85,51,10,12.7,3,1,0,1
"866",866,180,90,58,8,10.5,2,1,0,1
"867",867,80,58,38,7,13.5,5,0,0,1
"868",868,96,60,45,6,12,5,0,0,1
"869",869,96,60,45,6,12,5,0,0,1
"870",870,96,60,45,6,12,5,0,0,1
"871",871,73,51,34,6,7,7,1,0,1
"872",872,98,58,43,6,14.5,10,0,0,1
"873",873,128,80,45,13,12,15,1,0,1
"874",874,90,65,46,7,14.5,5,1,0,1
"875",875,115,61,42,5,3.5,10,1,1,0
"876",876,108,65,40,8,17,5,1,0,1
"877",877,108,65,40,8,17,5,1,0,1
"878",878,120,57,43,6,8,5,1,1,0
"879",879,138,65,47,9,5,10,1,0,1
"880",880,165,74,41,9,6.5,5,1,1,1
"881",881,165,74,41,9,6.5,5,1,1,1
"882",882,160,75,47,10,9,10,1,1,0
"883",883,120,67,45,7,13.5,10,1,0,1
"884",884,104,67,43,11,12,15,1,0,1
"885",885,135,73,53,8,11,15,1,1,1
"886",886,137,78,51,9,6,15,1,1,1
"887",887,144,80,48,13,15.5,10,1,0,1
"888",888,144,80,48,13,15.5,10,1,0,1
"889",889,112,66,44,7,8,20,1,0,1
"890",890,108,80,52,10,12,10,0,0,1
"891",891,109,75,45,10,13.5,5,1,0,0
"892",892,140,67,46,8,8,5,1,0,0
"893",893,84,59,45,5,10,15,1,0,1
"894",894,110,83,47,10,17,10,1,0,1
"895",895,110,83,47,10,17,10,1,0,1
"896",896,136,74,45,10,10,15,1,0,0
"897",897,83,55,38,7,11,10,1,1,0
"898",898,155,74,43,10,9,5,0,0,1
"899",899,85,67,46,6,12,15,1,0,1
"900",900,135,74,51,9,10.5,7,1,1,1
"901",901,129,72,44,10,6,5,1,0,0
"902",902,115,85,52,10,12,10,1,0,1
"903",903,135,76,50,8,10.5,15,1,0,1
"904",904,125,68,48,7,3,15,1,1,1
"905",905,90,67,40,8,12,5,1,0,1
"906",906,99,62,39,8,17,10,1,0,1
"907",907,82,62,44,6,13.5,10,0,0,1
"908",908,100,76,45,10,12.7,15,1,0,1
"909",909,85,55,41,5,11,5,0,1,1
"910",910,100,77,45,8,12,15,0,0,0
"911",911,125,75,52,9,10.5,5,0,1,1
"912",912,115,80,48,12,12.7,5,0,0,1
"913",913,138,66,44,14,4.5,2,1,0,1
"914",914,160,98,52,12,10,7,1,0,1
"915",915,103,64,45,6,17,5,1,0,1
"916",916,160,93,59,6,12.5,15,1,1,1
"917",917,118,86,54,10,12,15,1,0,1
"918",918,90,58,43,6,17,10,1,0,1
"919",919,83,60,42,6,12,7,0,0,1
"920",920,145,75,45,10,7,15,1,0,1
"921",921,145,75,45,10,7,15,1,0,1
"922",922,115,77,45,7,9,15,1,0,0
"923",923,85,53,34,6,10.5,3,1,0,1
"924",924,105,75,45,10,12,5,0,0,1
"925",925,95,67,45,10,12,10,0,0,1
"926",926,115,65,45,6,13.5,7,1,0,1
"927",927,85,59,42,6,10.5,7,0,0,0
"928",928,102,76,46,10,12,15,0,0,0
"929",929,100,75,45,9,14.5,10,0,0,1
"930",930,83,64,42,9,17,10,0,0,0
"931",931,100,77,41,10,12.7,10,1,0,1
"932",932,145,80,46,10,3.5,2,1,0,0
"933",933,114,68,44,8,10.5,10,1,0,1
"934",934,79,49,33,6,14.5,10,1,0,0
"935",935,79,51,34,6,12,7,0,0,1
"936",936,80,58,43,6,11.5,10,1,0,1
"937",937,108,66,43,7,17,5,1,0,1
"938",938,108,66,43,7,17,5,1,0,1
"939",939,105,77,45,10,14.5,10,0,0,1
"940",940,94,55,41,5,13.5,10,1,1,1
"941",941,90,61,43,6,12.5,3,1,0,1
"942",942,162,90,53,13,10,7,1,1,1
"943",943,89,64,39,8,14.5,5,0,0,0
"944",944,85,60,43,6,12,5,1,1,1
"945",945,115,68,44,9,12,7,1,0,1
"946",946,150,74,48,12,12,5,1,0,1
"947",947,133,83,46,12,13.5,10,1,1,1
"948",948,86,50,34,6,12,10,0,0,0
"949",949,108,66,44,7,17,5,1,0,1
"950",950,112,68,41,10,12,10,1,0,1
"951",951,105,57,40,6,4.5,5,1,1,1
"952",952,160,85,56,12,6.5,10,1,1,1
"953",953,105,82,48,8,13,10,0,0,1
"954",954,170,80,53,9,8,3,1,0,1
"955",955,139,68,46,8,9,5,1,0,1
"956",956,169,80,50,8,10,5,1,1,1
"957",957,185,91,50,12,10.5,10,1,0,1
"958",958,177,103,54,11,9,5,1,0,1
"959",959,124,79,44,13,12,10,1,0,1
"960",960,95,55,35,8,7.5,7,1,1,1
"961",961,80,60,44,6,13.5,10,0,0,1
"962",962,80,60,44,6,13.5,10,0,0,1
"963",963,119,71,52,8,8,10,0,1,0
"964",964,112,68,44,9,7.5,7,1,0,1
"965",965,125,78,38,11,12.7,10,1,0,1
"966",966,87,64,46,7,12,5,1,0,1
"967",967,120,80,52,14,12,7,1,0,1
"968",968,130,72,44,10,6,5,1,0,0
"969",969,115,77,44,7,12,10,1,1,1
"970",970,135,74,42,10,7.5,5,1,1,1
"971",971,107,66,42,9,8,7,0,0,1
"972",972,81,56,37,6,11.5,5,1,0,1
"973",973,110,60,45,6,12,5,1,0,1
"974",974,135,81,53,8,11.5,4,1,1,1
"975",975,115,63,40,8,12.5,10,0,0,1
"976",976,130,78,54,8,7.5,10,0,0,1
"977",977,156,90,51,13,10,5,1,0,1
"978",978,123,75,45,10,12.7,10,1,0,1
"979",979,123,75,45,10,12.7,10,1,0,1
"980",980,85,58,39,6,10,7,0,0,1
"981",981,105,55,40,6,9,7,0,0,1
"982",982,84,59,38,6,7,10,1,0,1
"983",983,140,65,44,8,4.5,5,1,0,1
"984",984,93,70,40,10,12,10,1,0,0
"985",985,140,76,44,11,13.5,10,0,0,1
"986",986,91,60,45,6,10.5,5,0,0,1
"987",987,138,70,45,8,10.5,10,1,1,1
"988",988,128,78,54,9,6.5,5,1,0,1
"989",989,135,80,47,9,12,7,0,0,1
"990",990,103,64,45,7,13.5,15,1,0,1
"991",991,112,60,39,6,3.5,3,1,0,1
"992",992,95,65,39,8,12,15,1,0,1
"993",993,82,59,38,6,13.5,5,1,0,1
"994",994,125,78,52,7,11,7,1,1,1
"995",995,92,60,40,6,12,10,0,0,1
"996",996,79,54,36,6,12.5,10,0,1,1
"997",997,110,60,37,9,12.5,7,1,0,1
"998",998,150,69,46,8,7.5,7,1,1,1
"999",999,83,51,34,6,15.5,3,1,0,1
"1000",1000,150,76,45,10,12,5,1,0,1
"1001",1001,130,78,58,10,14.5,15,0,0,1
"1002",1002,180,81,53,9,8,7,1,1,0
"1003",1003,135,76,45,10,6,7,0,0,1
"1004",1004,108,66,43,7,17,2,1,0,1
"1005",1005,78,56,38,6,13.5,5,0,0,0
"1006",1006,155,75,43,8,7,5,0,0,1
"1007",1007,118,68,49,11,7.5,7,1,0,0
"1008",1008,118,68,49,11,7.5,7,1,0,0
"1009",1009,130,75,48,13,12.7,5,0,0,1
"1010",1010,90,66,43,6,15.5,5,1,0,0
"1011",1011,120,65,38,7,11,10,1,1,1
"1012",1012,127,82,50,10,10.5,7,0,0,0
"1013",1013,125,60,41,6,3,7,1,0,1
"1014",1014,145,81,46,10,15.5,5,1,0,1
"1015",1015,93,64,45,7,14.5,3,1,0,1
"1016",1016,93,64,45,7,14.5,3,1,0,1
"1017",1017,116,76,45,10,7,10,1,0,1
"1018",1018,100,60,39,9,15.5,10,1,0,1
"1019",1019,122,64,46,8,12.5,7,0,0,1
"1020",1020,150,85,57,10,9,7,1,1,0
"1021",1021,105,65,39,8,12,5,0,0,1
"1022",1022,134,83,44,10,13,10,1,0,0
"1023",1023,118,75,44,9,7,5,0,0,1
"1024",1024,100,64,38,8,14.5,15,0,0,1
"1025",1025,83,53,34,6,12.5,15,1,0,1
"1026",1026,80,56,38,6,7,10,1,0,1
"1027",1027,165,78,46,10,5,10,1,0,1
"1028",1028,163,73,48,9,7.5,5,0,1,1
"1029",1029,108,75,54,9,17,5,1,0,0
"1030",1030,126,80,46,13,14.5,5,0,0,1
"1031",1031,87,61,43,6,12,15,1,0,1
"1032",1032,87,61,43,6,12,15,1,0,1
"1033",1033,165,84,57,9,10.5,7,1,0,0
"1034",1034,113,78,44,10,12,10,1,1,0
"1035",1035,99,65,44,7,10.5,5,1,0,1
"1036",1036,115,64,45,7,13.5,7,1,0,1
"1037",1037,99,74,44,10,12,10,0,0,0
"1038",1038,110,63,45,7,13.5,10,1,0,1
"1039",1039,140,70,45,10,9,10,1,0,1
"1040",1040,134,84,52,8,12,7,1,1,1
"1041",1041,159,75,48,9,8,10,1,1,1
"1042",1042,120,74,44,10,12.7,10,1,0,1
"1043",1043,137,70,45,8,10.5,10,1,1,1
"1044",1044,125,77,46,10,13.5,5,0,1,1
"1045",1045,145,73,43,11,9,10,0,0,1
"1046",1046,115,64,45,7,13.5,5,1,0,1
"1047",1047,154,72,42,11,6.5,5,1,0,1
"1048",1048,81,60,44,6,13.5,10,0,0,1
"1049",1049,110,79,46,10,13,5,1,0,1
"1050",1050,95,72,44,10,12.7,10,1,0,0
"1051",1051,128,65,44,7,9,5,0,0,1
"1052",1052,178,74,46,9,3,3,1,1,0
"1053",1053,71,49,34,6,10,10,1,0,1
"1054",1054,170,100,57,10,13.5,15,0,0,0
"1055",1055,145,85,58,8,12,4,1,1,1
"1056",1056,78,52,35,6,12,10,1,0,1
"1057",1057,130,83,46,10,10.5,1,1,0,1
"1058",1058,137,69,44,10,9,10,1,0,1
"1059",1059,82,60,42,6,12.5,10,1,0,0
"1060",1060,110,63,43,9,15.5,3,1,0,0
"1061",1061,106,76,46,10,13,5,0,0,1
"1062",1062,83,52,34,6,14.5,10,0,0,0
"1063",1063,160,77,42,8,6,5,0,0,1
"1064",1064,135,78,44,10,15.5,10,1,1,1
"1065",1065,88,61,42,6,12.5,5,1,0,1
"1066",1066,96,65,45,7,12.5,15,1,1,1
"1067",1067,84,63,44,7,14.5,10,0,0,1
"1068",1068,140,85,52,11,9,10,0,0,1
"1069",1069,176,86,54,8,9,10,1,1,1
"1070",1070,136,76,44,10,14.5,9,0,0,1
"1071",1071,173,80,50,8,6,10,1,1,1
"1072",1072,130,79,46,10,13,10,0,1,1
"1073",1073,87,55,38,5,6.5,5,1,1,1
"1074",1074,95,60,43,6,9,5,0,0,1
"1075",1075,95,60,43,6,9,5,0,0,1
"1076",1076,85,64,45,6,13,5,0,0,1
"1077",1077,95,65,47,8,13.5,5,1,0,1
"1078",1078,130,77,45,10,12,7,1,0,1
"1079",1079,72,54,35,6,13.5,10,1,0,1
"1080",1080,92,64,39,8,12,7,0,0,1
"1081",1081,149,77,45,9,12,5,1,0,1
"1082",1082,85,65,46,7,13,7,0,0,1
"1083",1083,95,67,41,9,13.5,7,0,0,1
"1084",1084,120,63,43,9,12,1,1,0,0
"1085",1085,115,72,50,8,10.5,10,0,1,1
"1086",1086,92,59,41,6,7.5,12,1,0,1
"1087",1087,140,83,47,9,10.5,5,0,1,1
"1088",1088,110,65,44,8,10.5,10,1,1,1
"1089",1089,82,60,44,6,14.5,7,0,0,1
"1090",1090,115,80,48,11,12.7,5,0,0,1
"1091",1091,82,56,42,6,10,10,1,0,0
"1092",1092,90,61,44,6,12,5,1,0,0
"1093",1093,127,65,43,7,9,5,0,0,1
"1094",1094,140,81,55,8,9,7,0,1,0
"1095",1095,117,81,46,10,12.5,10,1,0,1
"1096",1096,87,63,42,7,13.5,7,1,0,1
"1097",1097,82,60,45,6,13.5,10,0,0,1
"1098",1098,140,86,51,10,12.7,10,1,0,1
"1099",1099,84,60,43,6,14.5,5,0,0,1
"1100",1100,93,57,43,5,12.5,15,1,1,1
"1101",1101,111,81,45,9,14.5,10,0,0,0
"1102",1102,84,60,45,6,13.5,7,0,0,1
"1103",1103,84,60,45,6,13.5,7,0,0,1
"1104",1104,160,98,50,12,10,10,1,0,1
"1105",1105,85,64,45,7,15.5,10,1,0,0
"1106",1106,127,76,54,6,9,5,0,0,0
"1107",1107,105,56,43,6,3,10,1,1,1
"1108",1108,133,83,45,10,13,10,1,0,0
"1109",1109,112,63,45,7,13.5,7,0,0,1
"1110",1110,82,55,36,6,10,7,1,0,0
"1111",1111,105,75,45,10,14.5,10,0,0,1
"1112",1112,160,72,50,9,7.5,5,0,1,1
"1113",1113,118,72,43,10,12.7,2,1,0,0
"1114",1114,110,77,45,10,12,5,0,0,1
"1115",1115,93,59,39,6,15.5,10,1,0,1
"1116",1116,115,62,38,8,11.5,5,1,0,1
"1117",1117,94,64,45,7,14.5,3,1,0,1
"1118",1118,180,85,55,10,10.5,5,1,1,1
"1119",1119,112,76,54,8,10.5,15,1,1,0
"1120",1120,93,64,41,7,14.5,3,1,0,1
"1121",1121,93,65,39,8,12.5,7,0,0,1
"1122",1122,125,77,40,11,13,10,0,1,1
"1123",1123,85,60,40,6,13.5,5,0,0,1
"1124",1124,160,80,56,9,12,5,1,1,1
"1125",1125,99,65,40,8,17,12,1,0,0
"1126",1126,107,56,32,5,7.5,7,1,1,0
"1127",1127,115,76,45,10,12,15,0,0,1
"1128",1128,82,61,40,6,13.5,10,0,0,1
"1129",1129,140,84,48,9,12,10,0,1,1
"1130",1130,159,81,56,8,7.5,15,1,1,0
"1131",1131,140,80,51,7,7.5,7,1,1,1
"1132",1132,95,62,38,8,12.5,3,1,0,0
"1133",1133,89,51,34,6,3.5,10,1,0,0
"1134",1134,92,57,40,6,12.5,2,1,1,1
"1135",1135,95,56,42,7,3.5,10,1,1,0
"1136",1136,131,80,46,13,12,7,1,0,0
"1137",1137,85,59,40,5,12.5,5,0,0,1
"1138",1138,130,83,50,9,6.5,10,1,0,1
"1139",1139,95,66,44,10,14.5,7,0,0,1
"1140",1140,220,107,71,9,9,10,1,1,1
"1141",1141,95,60,46,5,10.5,5,1,0,1
"1142",1142,115,58,41,5,7.5,7,1,1,0
"1143",1143,84,60,44,6,13.5,7,0,0,1
"1144",1144,160,93,57,12,12.7,5,1,0,1
"1145",1145,85,58,44,6,10.5,10,1,0,0
"1146",1146,125,82,52,12,13.5,10,0,0,0
"1147",1147,147,76,46,10,12,3,1,0,1
"1148",1148,79,54,35,5,12.5,10,0,1,1
"1149",1149,118,84,48,9,12.7,5,0,0,1
"1150",1150,123,77,46,10,13,10,1,0,1
